Тренирање на DQN агент...
DDQNAgent | Епизода  13 | Макс. позиција: -0.32 | Вкупна награда:   283.2 | Епсилон: 0.94
DDQNAgent | Епизода  14 | Макс. позиција: -0.38 | Вкупна награда:   147.6 | Епсилон: 0.93
DDQNAgent | Епизода  15 | Макс. позиција: -0.40 | Вкупна награда:    62.1 | Епсилон: 0.93
DDQNAgent | Епизода  16 | Макс. позиција: -0.33 | Вкупна награда:   417.6 | Епсилон: 0.92
DDQNAgent | Епизода  17 | Макс. позиција: -0.40 | Вкупна награда:   111.4 | Епсилон: 0.92
DDQNAgent | Епизода  18 | Макс. позиција: -0.47 | Вкупна награда:    25.6 | Епсилон: 0.91
DDQNAgent | Епизода  19 | Макс. позиција: -0.35 | Вкупна награда:    85.2 | Епсилон: 0.91
DDQNAgent | Епизода  20 | Макс. позиција: -0.44 | Вкупна награда:     0.1 | Епсилон: 0.90
DDQNAgent | Епизода  21 | Макс. позиција: -0.45 | Вкупна награда:    26.5 | Епсилон: 0.90
DDQNAgent | Епизода  22 | Макс. позиција: -0.42 | Вкупна награда:    57.2 | Епсилон: 0.90
DDQNAgent | Епизода  23 | Макс. позиција: -0.47 | Вкупна награда:    17.1 | Епсилон: 0.89
DDQNAgent | Епизода  24 | Макс. позиција: -0.47 | Вкупна награда:   -10.3 | Епсилон: 0.89
DDQNAgent | Епизода  25 | Макс. позиција: -0.36 | Вкупна награда:    61.9 | Епсилон: 0.88
DDQNAgent | Епизода  26 | Макс. позиција: -0.38 | Вкупна награда:   183.6 | Епсилон: 0.88
DDQNAgent | Епизода  27 | Макс. позиција: -0.35 | Вкупна награда:    98.4 | Епсилон: 0.87
DDQNAgent | Епизода  28 | Макс. позиција: -0.34 | Вкупна награда:   119.1 | Епсилон: 0.87
DDQNAgent | Епизода  29 | Макс. позиција: -0.41 | Вкупна награда:   137.4 | Епсилон: 0.86
DDQNAgent | Епизода  30 | Макс. позиција: -0.27 | Вкупна награда:   422.2 | Епсилон: 0.86
DDQNAgent | Епизода  31 | Макс. позиција: -0.48 | Вкупна награда:    23.4 | Епсилон: 0.86
DDQNAgent | Епизода  32 | Макс. позиција: -0.33 | Вкупна награда:   403.8 | Епсилон: 0.85
DDQNAgent | Епизода  33 | Макс. позиција: -0.35 | Вкупна награда:   226.2 | Епсилон: 0.85
DDQNAgent | Епизода  34 | Макс. позиција: -0.48 | Вкупна награда:    22.5 | Епсилон: 0.84
DDQNAgent | Епизода  35 | Макс. позиција: -0.41 | Вкупна награда:   114.1 | Епсилон: 0.84
DDQNAgent | Епизода  36 | Макс. позиција: -0.43 | Вкупна награда:   133.8 | Епсилон: 0.83
DDQNAgent | Епизода  37 | Макс. позиција: -0.40 | Вкупна награда:    49.0 | Епсилон: 0.83
DDQNAgent | Епизода  38 | Макс. позиција: -0.42 | Вкупна награда:   144.8 | Епсилон: 0.83
DDQNAgent | Епизода  39 | Макс. позиција: -0.47 | Вкупна награда:   -10.2 | Епсилон: 0.82
DDQNAgent | Епизода  40 | Макс. позиција: -0.43 | Вкупна награда:    67.3 | Епсилон: 0.82
DDQNAgent | Епизода  41 | Макс. позиција: -0.44 | Вкупна награда:    58.8 | Епсилон: 0.81
